,time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
1232,795732,,,,,,,,-0.86328125,-0.6015625,-0.73046875,-0.2890625,0.37890625,-0.033203125,36.75555555555553,6.2555555555555316,183.07777777777778
1233,795733,,,,,,,,-0.91015625,-0.39453125,-0.71484375,-0.244140625,0.3671875,-0.078125,36.53333333333336,6.111111111111086,183.0888888888889
1234,795734,,,,,,,,-0.80078125,-0.33984375,-0.8203125,-0.16015625,0.275390625,-0.16015625,36.355555555555554,6.03333333333336,183.13333333333333
1235,795735,,,,,,,,-0.55078125,-0.41796875,-0.8671875,-0.05078125,0.228515625,-0.279296875,36.19999999999999,6.055555555555543,183.25555555555556
1236,795736,,,,,,,,-0.2265625,-0.36328125,-0.41796875,0.078125,0.169921875,-0.427734375,36.06666666666666,6.211111111111109,183.48888888888888
1237,795737,,,,,,,,0.01953125,-0.2109375,-0.1953125,0.21875,0.068359375,-0.587890625,35.97777777777776,6.5,183.82222222222222
1238,795738,,,,,,,,0.140625,-0.12109375,-0.15625,0.36328125,0.021484375,-0.669921875,35.9111111111111,6.933333333333337,184.25555555555556
1239,795739,,,,,,,,0.07421875,0.19140625,-0.1484375,0.484375,0.0234375,-0.625,35.855555555555554,7.444444444444457,184.7
1240,795740,36.01279,129.32211266666667,316.6638320162991,43.279808628605615,0.0,65535.0,,0.28125,0.04296875,-0.53125,-0.21875,0.58203125,0.4765625,37.0888888888889,6.51111111111112,183.14444444444445
1241,795741,,,,,,,,-0.08203125,-0.1796875,-0.71484375,0.525390625,0.205078125,-0.564453125,35.644444444444446,8.51111111111112,185.45555555555555
1242,795742,,,,,,,,-0.5546875,-0.296875,-0.80078125,0.482421875,0.2421875,-0.65625,35.47777777777776,9.03333333333336,185.84444444444443
1243,795743,,,,,,,,-0.67578125,-0.56640625,-0.77734375,0.505859375,0.3671875,-0.759765625,35.24444444444447,9.566666666666663,186.2888888888889
